Date,Open,High,Low,Close,Adj Close,Volume
2013-04-15,0.720000,0.790000,0.720000,0.760000,0.760000,16396200
2013-04-16,0.770000,0.810000,0.770000,0.810000,0.810000,13421000
2013-04-17,0.830000,0.850000,0.790000,0.790000,0.790000,13037800
2013-04-18,0.810000,0.810000,0.780000,0.790000,0.790000,5559500
2013-04-19,0.790000,0.820000,0.770000,0.800000,0.800000,7941300
2013-04-22,0.820000,0.830000,0.790000,0.790000,0.790000,6875900
2013-04-23,0.810000,0.810000,0.780000,0.790000,0.790000,7827500
2013-04-24,0.790000,0.820000,0.780000,0.820000,0.820000,11336700
2013-04-25,0.840000,0.850000,0.810000,0.820000,0.820000,9999500
2013-04-26,0.830000,0.830000,0.810000,0.830000,0.830000,8150500
2013-04-29,0.820000,0.850000,0.810000,0.830000,0.830000,5803700
2013-04-30,0.830000,0.850000,0.820000,0.830000,0.830000,10687400
2013-05-01,0.830000,0.840000,0.800000,0.830000,0.830000,7572500
2013-05-02,0.830000,0.840000,0.820000,0.820000,0.820000,5002200
2013-05-03,0.830000,0.840000,0.820000,0.820000,0.820000,8685800
2013-05-06,0.830000,0.830000,0.810000,0.820000,0.820000,4967800
2013-05-07,0.820000,0.820000,0.820000,0.820000,0.820000,3263400
2013-05-08,0.840000,0.960000,0.810000,0.900000,0.900000,61525100
2013-05-09,1.000000,1.000000,0.820000,0.870000,0.870000,75017800
2013-05-10,0.900000,0.900000,0.850000,0.880000,0.880000,16872800
2013-05-13,0.890000,0.960000,0.890000,0.950000,0.950000,28203000
2013-05-14,0.960000,1.200000,0.960000,1.200000,1.200000,82251100
2013-05-15,1.250000,1.480000,1.220000,1.420000,1.420000,130357700
2013-05-16,1.450000,1.600000,1.200000,1.270000,1.270000,112414000
2013-05-17,1.300000,1.380000,1.220000,1.350000,1.350000,30069600
2013-05-20,1.400000,1.550000,1.360000,1.540000,1.540000,48950700
2013-05-21,1.590000,1.720000,1.460000,1.710000,1.710000,110548100
2013-05-22,1.700000,2.000000,1.620000,1.830000,1.830000,112416100
2013-05-23,1.770000,2.500000,1.640000,2.100000,2.100000,112626300
2013-05-24,2.260000,3.150000,2.200000,2.970000,2.970000,156286600
2013-05-28,3.540000,4.090000,2.880000,4.080000,4.080000,132826500
2013-05-29,4.190000,5.440000,2.000000,2.900000,2.900000,272292600
2013-05-30,2.740000,2.800000,1.600000,1.730000,1.730000,205768400
2013-05-31,1.540000,2.280000,1.300000,2.100000,2.100000,162273300
2013-06-03,2.500000,2.900000,2.030000,2.530000,2.530000,91557000
2013-06-04,2.270000,2.690000,2.230000,2.240000,2.240000,82930400
2013-06-05,2.090000,2.160000,1.800000,1.820000,1.820000,92947100
2013-06-06,1.970000,2.000000,1.760000,1.990000,1.990000,53637100
2013-06-07,2.020000,2.130000,1.870000,1.980000,1.980000,43194100
2013-06-10,1.870000,1.990000,1.820000,1.910000,1.910000,34007100
2013-06-11,2.030000,2.030000,1.950000,1.980000,1.980000,21184800
2013-06-12,1.980000,2.030000,1.890000,1.940000,1.940000,10889400
2013-06-13,1.940000,1.940000,1.810000,1.840000,1.840000,18343100
2013-06-14,1.810000,1.820000,1.450000,1.530000,1.530000,101886300
2013-06-17,1.560000,1.750000,1.550000,1.690000,1.690000,30256700
2013-06-18,1.740000,1.900000,1.710000,1.900000,1.900000,24297400
2013-06-19,1.970000,2.030000,1.770000,1.840000,1.840000,33252600
2013-06-20,1.720000,1.780000,1.650000,1.730000,1.730000,18303200
2013-06-21,1.790000,1.860000,1.760000,1.850000,1.850000,18681300
2013-06-24,1.820000,1.820000,1.700000,1.800000,1.800000,10863900
2013-06-25,1.750000,1.760000,1.540000,1.570000,1.570000,33156100
2013-06-26,1.490000,1.500000,1.030000,1.180000,1.180000,143044700
2013-06-27,1.020000,1.400000,1.010000,1.390000,1.390000,79321600
2013-06-28,1.420000,1.530000,1.340000,1.410000,1.410000,37759700
2013-07-01,1.460000,1.540000,1.450000,1.510000,1.510000,29667600
2013-07-02,1.570000,1.720000,1.540000,1.680000,1.680000,46582900
2013-07-03,1.680000,1.720000,1.540000,1.600000,1.600000,27120900
2013-07-05,1.630000,1.710000,1.610000,1.670000,1.670000,18539400
2013-07-08,1.720000,1.780000,1.680000,1.730000,1.730000,26877100
2013-07-09,1.750000,1.780000,1.620000,1.620000,1.620000,21075100
2013-07-10,1.630000,1.630000,1.480000,1.530000,1.530000,28989900
2013-07-11,1.560000,1.620000,1.420000,1.460000,1.460000,31922500
2013-07-12,1.480000,1.620000,1.360000,1.470000,1.470000,20442800
2013-07-15,1.490000,1.550000,1.480000,1.530000,1.530000,10531800
2013-07-16,1.540000,1.550000,1.480000,1.500000,1.500000,8733600
2013-07-17,1.500000,1.510000,1.440000,1.470000,1.470000,8264700
2013-07-18,1.470000,1.480000,1.430000,1.440000,1.440000,8389300
2013-07-19,1.430000,1.430000,1.350000,1.410000,1.410000,12589100
2013-07-22,1.420000,1.610000,1.410000,1.610000,1.610000,35716900
2013-07-23,1.650000,1.740000,1.530000,1.540000,1.540000,29213200
2013-07-24,1.530000,1.630000,1.480000,1.500000,1.500000,17602600
2013-07-25,1.490000,1.530000,1.460000,1.530000,1.530000,9742500
2013-07-26,1.580000,1.600000,1.530000,1.580000,1.580000,8479100
2013-07-29,1.530000,1.560000,1.480000,1.540000,1.540000,9401400
2013-07-30,1.540000,1.590000,1.540000,1.550000,1.550000,8763300
2013-07-31,1.540000,1.570000,1.530000,1.540000,1.540000,5143900
2013-08-01,1.540000,1.570000,1.520000,1.540000,1.540000,5950100
2013-08-02,1.540000,1.570000,1.520000,1.560000,1.560000,4821400
2013-08-05,1.570000,1.790000,1.560000,1.790000,1.790000,43127600
2013-08-06,1.580000,1.650000,1.480000,1.510000,1.510000,42856000
2013-08-07,1.470000,1.580000,1.460000,1.540000,1.540000,23556100
