Date,Open,High,Low,Close,Adj Close,Volume
2013-04-08,3.000000,3.050000,3.000000,3.040000,3.002984,25526800
2013-04-09,3.050000,3.080000,3.050000,3.070000,3.032618,28933000
2013-04-10,3.070000,3.130000,3.060000,3.130000,3.091888,38375100
2013-04-11,3.150000,3.200000,3.130000,3.160000,3.121522,43456900
2013-04-12,3.170000,3.170000,3.080000,3.080000,3.042496,37879400
2013-04-15,3.080000,3.090000,3.010000,3.030000,2.993105,57509800
2013-04-16,3.040000,3.060000,3.040000,3.050000,3.012862,27959900
2013-04-17,3.020000,3.030000,2.980000,3.000000,2.963470,63221100
2013-04-18,3.000000,3.010000,2.970000,2.990000,2.953592,34270700
2013-04-19,2.980000,3.010000,2.970000,3.010000,2.973349,20803900
2013-04-22,3.010000,3.030000,2.980000,3.030000,2.993105,19830500
2013-04-23,3.020000,3.110000,3.010000,3.110000,3.072131,30846800
2013-04-24,3.120000,3.150000,3.120000,3.140000,3.101766,23707800
2013-04-25,3.150000,3.150000,3.110000,3.120000,3.082010,32276400
2013-04-26,3.120000,3.150000,3.120000,3.120000,3.082010,25159200
2013-04-29,3.140000,3.150000,3.060000,3.070000,3.032618,47023700
2013-04-30,3.120000,3.250000,3.120000,3.250000,3.210427,127843800
2013-05-01,3.230000,3.390000,3.230000,3.360000,3.319087,96495400
2013-05-02,3.340000,3.350000,3.280000,3.300000,3.259818,43912600
2013-05-03,3.330000,3.390000,3.320000,3.360000,3.319087,38829000
2013-05-06,3.370000,3.410000,3.360000,3.390000,3.348722,49873300
2013-05-07,3.400000,3.410000,3.370000,3.390000,3.348722,29732100
2013-05-08,3.390000,3.420000,3.350000,3.370000,3.328965,28765500
2013-05-09,3.360000,3.400000,3.360000,3.390000,3.348722,24933700
2013-05-10,3.390000,3.410000,3.380000,3.390000,3.348722,23786200
2013-05-13,3.370000,3.430000,3.370000,3.400000,3.358601,29281500
2013-05-14,3.420000,3.470000,3.410000,3.450000,3.407991,43699900
2013-05-15,3.470000,3.590000,3.470000,3.530000,3.487017,112569000
2013-05-16,3.570000,3.570000,3.450000,3.450000,3.407991,54723000
2013-05-17,3.490000,3.510000,3.430000,3.500000,3.457383,46559500
2013-05-20,3.490000,3.560000,3.490000,3.500000,3.457383,45306200
2013-05-21,3.530000,3.540000,3.480000,3.520000,3.477139,50410500
2013-05-22,3.520000,3.580000,3.500000,3.540000,3.496895,45736700
2013-05-23,3.490000,3.550000,3.430000,3.550000,3.506773,58975300
2013-05-24,3.540000,3.580000,3.510000,3.580000,3.536408,51228000
2013-05-28,3.600000,3.630000,3.560000,3.590000,3.546287,59143800
2013-05-29,3.570000,3.590000,3.520000,3.560000,3.516652,76872100
2013-05-30,3.560000,3.590000,3.540000,3.570000,3.526530,38057200
2013-05-31,3.560000,3.560000,3.480000,3.490000,3.447504,60954700
2013-06-03,3.500000,3.500000,3.370000,3.460000,3.417869,72905400
2013-06-04,3.460000,3.470000,3.370000,3.410000,3.368478,98090800
2013-06-05,3.390000,3.390000,3.290000,3.300000,3.259818,87614700
2013-06-06,3.310000,3.420000,3.310000,3.390000,3.348722,102799800
2013-06-07,3.410000,3.520000,3.380000,3.460000,3.417869,66813100
2013-06-10,3.480000,3.490000,3.360000,3.400000,3.358601,55161800
2013-06-11,3.340000,3.390000,3.320000,3.340000,3.299331,49965000
2013-06-12,3.350000,3.360000,3.210000,3.240000,3.200548,74233200
2013-06-13,3.230000,3.330000,3.210000,3.290000,3.249939,77079100
2013-06-14,3.300000,3.350000,3.270000,3.270000,3.230183,49073600
2013-06-17,3.280000,3.400000,3.270000,3.340000,3.299331,52903200
2013-06-18,3.340000,3.460000,3.340000,3.400000,3.358601,54847700
2013-06-19,3.410000,3.480000,3.350000,3.370000,3.328965,70849500
2013-06-20,3.330000,3.330000,3.250000,3.270000,3.230183,65868800
2013-06-21,3.300000,3.330000,3.130000,3.150000,3.111645,151648700
2013-06-24,3.100000,3.250000,3.040000,3.220000,3.180792,93120700
2013-06-25,3.260000,3.280000,3.180000,3.200000,3.161035,78198500
2013-06-26,3.220000,3.340000,3.210000,3.330000,3.289452,59228200
2013-06-27,3.350000,3.430000,3.340000,3.400000,3.358601,58801800
2013-06-28,3.390000,3.470000,3.310000,3.350000,3.309209,160125800
2013-07-01,3.350000,3.400000,3.300000,3.380000,3.338844,37961500
2013-07-02,3.380000,3.450000,3.360000,3.440000,3.398113,51184800
2013-07-03,3.430000,3.470000,3.380000,3.470000,3.427748,35222000
2013-07-05,3.480000,3.500000,3.360000,3.380000,3.338844,59695200
2013-07-08,3.400000,3.490000,3.390000,3.480000,3.437626,49952500
2013-07-09,3.530000,3.600000,3.510000,3.600000,3.556165,81507700
2013-07-10,3.610000,3.620000,3.540000,3.590000,3.546287,46109200
2013-07-11,3.620000,3.650000,3.600000,3.640000,3.595678,49636900
2013-07-12,3.650000,3.730000,3.640000,3.720000,3.674704,45932300
2013-07-15,3.750000,3.770000,3.660000,3.660000,3.615434,54940000
2013-07-16,3.660000,3.690000,3.600000,3.670000,3.625313,54709900
2013-07-17,3.670000,3.680000,3.620000,3.630000,3.585800,51002800
2013-07-18,3.640000,3.720000,3.620000,3.690000,3.645069,41863400
2013-07-19,3.700000,3.720000,3.600000,3.640000,3.595678,56823900
2013-07-22,3.640000,3.680000,3.620000,3.680000,3.635191,32203300
2013-07-23,3.670000,3.680000,3.640000,3.680000,3.635191,24887100
2013-07-24,3.690000,3.690000,3.600000,3.680000,3.635191,47779000
2013-07-25,3.730000,3.780000,3.660000,3.780000,3.733973,69193600
2013-07-26,3.750000,3.810000,3.720000,3.760000,3.714216,41869700
2013-07-29,3.740000,3.790000,3.710000,3.750000,3.704338,34072000
2013-07-30,3.760000,3.770000,3.700000,3.700000,3.654947,29612100
2013-07-31,3.700000,3.770000,3.690000,3.740000,3.694460,33140700
2013-08-01,3.780000,3.790000,3.750000,3.780000,3.733973,25155800
2013-08-02,3.780000,3.840000,3.760000,3.840000,3.793242,41560800
2013-08-05,3.820000,3.840000,3.780000,3.790000,3.743851,37220500
2013-08-06,3.790000,3.840000,3.780000,3.830000,3.783364,31584500
2013-08-07,3.820000,3.830000,3.770000,3.790000,3.743851,28962300
2013-08-08,3.810000,3.820000,3.760000,3.800000,3.753729,27838800
2013-08-09,3.780000,3.830000,3.780000,3.820000,3.773486,23238300
2013-08-12,3.830000,3.850000,3.810000,3.830000,3.783364,22196200
2013-08-13,3.840000,3.850000,3.800000,3.800000,3.753729,30224700
2013-08-14,3.800000,3.810000,3.760000,3.760000,3.714216,31878600
2013-08-15,3.760000,3.770000,3.680000,3.690000,3.645069,39741900
2013-08-16,3.700000,3.720000,3.680000,3.700000,3.654947,27746900
2013-08-19,3.700000,3.720000,3.600000,3.610000,3.566043,34937100
2013-08-20,3.630000,3.710000,3.600000,3.670000,3.625313,28904400
2013-08-21,3.670000,3.720000,3.650000,3.660000,3.615434,26391800
2013-08-22,3.670000,3.700000,3.630000,3.670000,3.625313,19256800
2013-08-23,3.680000,3.710000,3.620000,3.700000,3.654947,29357400
2013-08-26,3.710000,3.730000,3.660000,3.670000,3.625313,26186300
2013-08-27,3.620000,3.630000,3.560000,3.560000,3.516652,44829400
2013-08-28,3.560000,3.600000,3.550000,3.580000,3.536408,26826800
2013-08-29,3.580000,3.660000,3.570000,3.630000,3.585800,26165000
2013-08-30,3.620000,3.630000,3.570000,3.580000,3.536408,30347700
2013-09-03,3.600000,3.640000,3.590000,3.640000,3.595678,26974000
2013-09-04,3.640000,3.700000,3.630000,3.690000,3.645069,31916500
2013-09-05,3.710000,3.800000,3.710000,3.800000,3.753729,43613100
2013-09-06,3.800000,3.830000,3.750000,3.750000,3.704338,62203800
2013-09-09,3.760000,3.830000,3.760000,3.800000,3.753729,37613200
2013-09-10,3.830000,3.850000,3.810000,3.850000,3.803121,29819000
2013-09-11,3.840000,3.880000,3.820000,3.870000,3.822877,40984600
2013-09-12,3.860000,3.880000,3.750000,3.770000,3.724095,40986100
2013-09-13,3.790000,3.850000,3.780000,3.810000,3.763608,40450700
2013-09-16,3.840000,3.870000,3.810000,3.830000,3.783364,45182800
2013-09-17,3.830000,3.880000,3.830000,3.860000,3.812999,32712900
2013-09-18,3.850000,3.880000,3.830000,3.870000,3.822877,55119200
2013-09-19,3.880000,3.970000,3.880000,3.960000,3.911781,49546800
2013-09-20,3.960000,3.990000,3.920000,3.940000,3.892025,56172900
2013-09-23,3.900000,3.910000,3.840000,3.860000,3.812999,37709300
2013-09-24,3.860000,3.870000,3.820000,3.830000,3.783364,28169900
2013-09-25,3.830000,3.880000,3.810000,3.830000,3.783364,26016200
2013-09-26,3.910000,3.930000,3.850000,3.930000,3.882147,28763700
2013-09-27,3.910000,3.920000,3.880000,3.920000,3.872268,21665800
2013-09-30,3.860000,3.890000,3.840000,3.880000,3.832756,34721600
2013-10-01,3.870000,3.980000,3.870000,3.980000,3.931538,34604300
2013-10-02,3.960000,3.990000,3.910000,3.980000,3.931538,27365600
2013-10-03,3.980000,3.980000,3.910000,3.920000,3.872268,49190800
2013-10-04,3.930000,3.980000,3.920000,3.950000,3.901903,26720600
2013-10-07,3.910000,3.970000,3.900000,3.960000,3.911781,20674900
2013-10-08,3.950000,4.000000,3.850000,3.850000,3.803121,56859500
2013-10-09,3.880000,3.890000,3.810000,3.830000,3.783364,40995800
2013-10-10,3.970000,3.980000,3.890000,3.910000,3.862390,61760500
2013-10-11,3.910000,3.960000,3.850000,3.880000,3.832756,72477200
2013-10-14,3.830000,3.940000,3.830000,3.940000,3.892025,27915100
2013-10-15,3.920000,3.950000,3.860000,3.900000,3.852512,35693200
2013-10-16,3.920000,3.960000,3.870000,3.950000,3.901903,51654600
2013-10-17,3.930000,3.990000,3.930000,3.990000,3.941416,29441000
2013-10-18,4.020000,4.060000,4.000000,4.050000,4.000686,36827400
2013-10-21,4.080000,4.100000,4.050000,4.100000,4.050076,32107400
2013-10-22,4.120000,4.170000,4.110000,4.130000,4.079711,34074300
2013-10-23,4.150000,4.180000,4.050000,4.060000,4.010563,53159000
2013-10-24,3.900000,4.050000,3.870000,3.910000,3.862390,122721800
2013-10-25,3.840000,3.850000,3.660000,3.750000,3.704338,281208000
2013-10-28,3.740000,3.770000,3.700000,3.730000,3.684582,66970300
2013-10-29,3.730000,3.750000,3.710000,3.720000,3.674704,41753800
2013-10-30,3.740000,3.740000,3.680000,3.730000,3.684582,36989100
2013-10-31,3.720000,3.780000,3.710000,3.770000,3.724095,31987500
2013-11-01,3.800000,3.820000,3.770000,3.790000,3.743851,62049400
2013-11-04,3.820000,3.840000,3.780000,3.790000,3.743851,36995300
2013-11-05,3.780000,3.790000,3.700000,3.720000,3.674704,40513700
2013-11-06,3.730000,3.740000,3.640000,3.650000,3.605556,54287600
2013-11-07,3.650000,3.720000,3.560000,3.600000,3.556165,80850500
2013-11-08,3.610000,3.670000,3.580000,3.660000,3.615434,34789400
2013-11-11,3.660000,3.750000,3.660000,3.710000,3.664825,30851600
2013-11-12,3.710000,3.720000,3.630000,3.720000,3.674704,61536000
2013-11-13,3.710000,3.740000,3.690000,3.740000,3.694460,24581100
2013-11-14,3.750000,3.760000,3.690000,3.740000,3.694460,33885800
2013-11-15,3.740000,3.880000,3.730000,3.860000,3.812999,63227100
2013-11-18,3.880000,3.890000,3.740000,3.760000,3.714216,42995600
2013-11-19,3.750000,3.750000,3.670000,3.680000,3.635191,36127900
2013-11-20,3.700000,3.710000,3.630000,3.630000,3.585800,31972800
2013-11-21,3.650000,3.670000,3.630000,3.640000,3.595678,15144500
2013-11-22,3.660000,3.720000,3.650000,3.680000,3.635191,25907700
2013-11-25,3.850000,3.860000,3.650000,3.660000,3.615434,127839300
